Time,Displacement,Force,Work
19.7500,30.00,0.01,0.30
19.8000,28.00,0.01,0.28
19.8500,31.00,0.01,0.31
19.9000,31.00,0.01,0.31
19.9500,35.00,0.01,0.35
20.0000,36.00,0.01,0.36
20.0500,32.00,0.01,0.32
20.1000,16.00,0.01,0.16
20.1500,2.00,0.01,0.02
20.2000,32.00,10.15,324.70
20.2500,94.00,26.85,2523.69
20.3000,143.00,32.54,4653.12
20.3500,199.00,35.32,7029.24
20.4000,265.00,36.57,9690.82
20.4500,322.00,37.61,12109.70
20.5000,333.00,38.11,12689.39
20.5500,375.00,38.44,14414.49
20.6000,393.00,38.52,15139.04
20.6500,428.00,38.60,16522.86
20.7000,442.00,38.65,17081.69
20.7500,468.00,38.77,18144.83
20.8000,494.00,38.73,19132.35
20.8500,525.00,38.81,20376.58
20.9000,538.00,38.81,20881.15
20.9500,559.00,38.90,21742.66
21.0000,575.00,38.90,22364.99
21.0500,588.00,38.90,22870.63
21.1000,598.00,38.90,23259.59
21.1500,606.00,38.94,23595.93
21.2000,618.00,38.94,24063.17
21.2500,623.00,38.94,24257.86
21.3000,638.00,38.94,24841.92
21.3500,646.00,38.94,25153.41
21.4000,662.00,38.98,25803.91
21.4500,673.00,38.94,26204.72
21.5000,679.00,38.98,26466.55
21.5500,693.00,38.98,27012.25
21.6000,706.00,38.98,27518.98
21.6500,712.00,38.98,27752.85
21.7000,721.00,39.02,28133.61
21.7500,726.00,38.98,28298.55
21.8000,729.00,38.94,28385.20
21.8500,748.00,38.98,29156.08
21.9000,755.00,39.02,29460.30
21.9500,774.00,39.02,30201.68
22.0000,786.00,39.02,30669.92
22.0499,792.00,39.06,30936.95
22.0999,795.00,39.06,31054.14
22.1499,797.00,39.02,31099.15
22.1999,806.00,39.06,31483.82
22.2499,804.00,39.06,31405.69
22.2999,798.00,39.02,31138.17
22.3499,791.00,38.98,30832.17
22.3999,771.00,39.02,30084.62
22.4499,754.00,38.98,29389.95
22.4999,736.00,38.94,28657.76
22.5499,682.00,38.77,26441.82
22.5999,617.00,38.65,23844.81
22.6499,550.00,38.52,21186.95
22.6999,492.00,38.48,18932.25
22.7499,460.00,38.48,17700.89
22.7999,430.00,38.40,16510.75
22.8499,424.00,38.44,16297.98
22.8999,389.00,38.36,14920.31
22.9499,342.00,38.27,13089.18
22.9999,281.00,37.98,10672.84
23.0499,263.00,37.94,9978.25
23.0999,242.00,37.90,9171.45
23.1499,244.00,37.90,9247.25
23.1999,231.00,37.77,8725.78
23.2499,217.00,37.65,8169.90
23.2999,210.00,37.61,7897.63
23.3499,224.00,37.77,8461.36
23.3999,234.00,37.90,8868.26
23.4499,250.00,38.02,9505.80
23.4999,281.00,38.19,10731.21
23.5499,320.00,38.36,12273.78
23.5999,359.00,38.44,13799.47
23.6499,365.00,38.52,14060.43
23.6999,384.00,38.60,14824.25
23.7499,395.00,38.65,15265.31
23.7999,400.00,38.60,15441.93
23.8499,424.00,38.60,16368.44
23.8999,429.00,38.65,16579.29
23.9499,445.00,38.69,17216.12
23.9999,455.00,38.69,17603.00
24.0499,469.00,38.73,18164.11
24.0999,479.00,38.73,18551.41
24.1499,487.00,38.77,18881.48
24.1999,499.00,38.73,19326.00
24.2499,511.00,38.77,19811.98
24.2999,515.00,38.81,19988.46
24.3499,517.00,38.81,20066.08
24.3999,505.00,38.77,19579.35
24.4499,498.00,38.77,19307.96
24.4999,487.00,38.77,18881.48
24.5499,462.00,38.65,17854.62
