ave_filt_force,med_filt_force,ave_filt_mag,med_filt_mag,Class
-0.24000000000000002,0.0,-697.34,-727.25,1
-0.27999999999999997,0.0,-697.25,-727.0,1
-0.27999999999999997,0.0,-697.1500000000001,-727.0,1
-0.28,0.0,-697.06,-727.0,1
-0.26,0.0,-697.02,-727.0,1
-0.24,0.0,-697.02,-727.0,1
-0.26,0.0,-696.9699999999999,-726.75,1
-0.26,0.0,-696.91,-726.5,1
-0.28,0.0,-696.92,-726.5,1
-0.28,0.0,-696.8,-726.5,1
-0.28,0.0,-696.81,-726.5,1
-0.28,0.0,-711.6099999999999,-726.5,1
-0.30000000000000004,0.0,-711.54,-726.25,1
-0.32000000000000006,0.0,-711.44,-726.0,1
-0.32000000000000006,0.0,-711.4,-726.0,1
-0.32,0.0,-711.41,-726.0,1
-0.32,0.0,-711.34,-725.75,1
-0.32000000000000006,0.0,-696.4499999999999,-725.5,1
-0.3400000000000001,0.0,-696.4499999999999,-725.5,1
-0.34,0.0,-696.39,-725.5,1
-0.33999999999999997,0.0,-696.34,-725.5,1
-0.33999999999999997,0.0,-696.32,-725.5,1
-0.33999999999999997,0.0,-696.25,-725.5,1
-0.33999999999999997,0.0,-696.2,-725.5,1
-0.34,0.0,-696.1200000000001,-725.5,1
-0.3400000000000001,0.0,-696.0600000000002,-725.5,1
-0.33999999999999997,0.0,-695.94,-725.5,1
-0.33999999999999997,0.0,-695.82,-725.5,1
-0.33999999999999997,0.0,-695.73,-725.25,1
-0.31999999999999995,0.0,-695.6700000000001,-725.0,1
-0.31999999999999995,0.0,-695.6400000000001,-725.0,1
-0.32,0.0,-695.5100000000001,-725.0,1
-0.33999999999999997,0.0,-695.49,-725.0,1
-0.37999999999999995,0.0,-695.4200000000001,-725.0,1
-0.37999999999999995,0.0,-695.3200000000002,-724.75,1
-0.38,0.0,-695.22,-724.5,1
-0.38,0.0,-695.13,-724.5,1
-0.34,0.0,-695.1500000000001,-724.5,1
-0.34,0.0,-695.1000000000001,-724.5,1
-0.34,0.0,-709.9000000000001,-724.5,1
-0.33999999999999997,0.0,-709.82,-724.5,1
-0.33999999999999997,0.0,-709.82,-724.5,1
-0.34,0.0,-709.74,-724.5,1
-0.34,0.0,-709.6399999999999,-724.5,1
-0.32,0.0,-709.6,-724.5,1
-0.32,0.0,-694.73,-724.5,1
-0.30000000000000004,0.0,-694.74,-724.5,1
-0.30000000000000004,0.0,-694.7,-724.5,1
-0.30000000000000004,0.0,-694.6700000000001,-724.25,1
-0.30000000000000004,0.0,-694.6100000000001,-724.0,1
-0.28,0.0,-694.6300000000001,-724.25,1
-0.26,0.0,-694.65,-724.25,1
-0.26,0.0,-694.64,-724.0,1
-0.26,0.0,-694.6400000000001,-724.0,1
-0.28,0.0,-694.5800000000002,-724.0,1
-0.28,0.0,-694.5100000000001,-724.0,1
-0.26,0.0,-694.49,-724.0,1
-0.22,0.0,-694.45,-724.0,1
-0.2,0.0,-694.4100000000001,-724.0,1
-0.2,0.0,-694.4000000000001,-724.0,1
