Data[0],Time,Force,X_axis,Y_axis,Z_axis
1,9.1000,2.00,-181.5000,412.5000,-2434.5000
1,9.1200,2.00,-184.5000,409.5000,-2436.0000
1,9.1400,0.00,-180.0000,408.0000,-2433.0000
1,9.1600,0.00,-183.0000,408.0000,-2433.0000
1,9.1800,0.00,-184.5000,406.5000,-2433.0000
1,9.2000,1.00,-186.0000,406.5000,-2433.0000
1,9.2200,-1.00,-181.5000,406.5000,-2436.0000
1,9.2400,0.00,-183.0000,409.5000,-2437.5000
1,9.2600,0.00,-178.5000,405.0000,-2442.0000
1,9.2800,0.00,-175.5000,406.5000,-2443.5000
1,9.3000,0.00,-178.5000,403.5000,-2443.5000
1,9.3200,1.00,-174.0000,406.5000,-2443.5000
1,9.3400,-1.00,-177.0000,408.0000,-2445.0000
1,9.3600,0.00,-178.5000,406.5000,-2446.5000
1,9.3800,-1.00,-174.0000,403.5000,-2446.5000
1,9.4000,0.00,-174.0000,408.0000,-2446.5000
1,9.4200,-1.00,-174.0000,411.0000,-2445.0000
1,9.4400,0.00,-174.0000,409.5000,-2445.0000
1,9.4600,2.00,-169.5000,408.0000,-2446.5000
