Data[0],Time,Force,Mag,Accel,Gyro
1,7.1200,4.00,22.5000,0.8105,-0.1831
1,7.1400,7.00,24.0000,0.8103,-0.1831
1,7.1600,5.00,24.0000,0.8110,-0.1831
1,7.1800,6.00,27.0000,0.8103,-0.1831
1,7.2000,4.00,27.0000,0.8109,-0.1831
1,7.2200,6.00,24.0000,0.8098,-0.1831
1,7.2400,10.00,22.5000,0.8107,-0.1831
1,7.2600,4.00,21.0000,0.8102,-0.1831
1,7.2800,5.00,24.0000,0.8104,-0.1831
1,7.3000,4.00,19.5000,0.8108,-0.1831
1,7.3200,5.00,22.5000,0.8103,-0.1831
1,7.3400,6.00,21.0000,0.8109,-0.1831
1,7.3600,9.00,19.5000,0.8108,-0.1831
1,7.3800,5.00,22.5000,0.8099,-0.1831
1,7.4000,4.00,22.5000,0.8102,-0.1831
1,7.4200,6.00,25.5000,0.8103,-0.1831
1,7.4400,5.00,21.0000,0.8102,-0.1831
1,7.4600,5.00,22.5000,0.8107,-0.1831
1,7.4800,7.00,21.0000,0.8110,-0.1831
1,7.5000,5.00,25.5000,0.8098,-0.1831
1,7.5200,6.00,22.5000,0.8104,-0.1831
1,7.5400,6.00,27.0000,0.8112,-0.1831
1,7.5600,6.00,22.5000,0.8108,-0.1831
1,7.5800,6.00,27.0000,0.8107,-0.1831
1,7.6000,5.00,22.5000,0.8102,-0.1831
1,7.6200,6.00,22.5000,0.8114,-0.1831
1,7.6400,6.00,22.5000,0.8109,-0.1831
1,7.6600,5.00,25.5000,0.8101,-0.1831
1,7.6800,7.00,24.0000,0.8102,-0.1831
1,7.7000,6.00,25.5000,0.8115,-0.1831
1,7.7200,7.00,22.5000,0.8098,-0.1831
1,7.7400,3.00,19.5000,0.8107,-0.1831
1,7.7600,5.00,22.5000,0.8108,-0.1831
1,7.7800,7.00,27.0000,0.8108,-0.1831
1,7.8000,8.00,27.0000,0.8108,-0.1831
1,7.8200,6.00,21.0000,0.8104,-0.1831
1,7.8400,4.00,25.5000,0.8103,-0.1831
1,7.8600,9.00,25.5000,0.8109,-0.1831
1,7.8800,7.00,22.5000,0.8103,-0.1831
1,7.9000,6.00,30.0000,0.8104,-0.1831
1,7.9200,7.00,25.5000,0.8105,-0.1831
1,7.9400,6.00,22.5000,0.8108,-0.1831
1,7.9600,6.00,21.0000,0.8096,-0.1831
1,7.9800,7.00,24.0000,0.8109,-0.1831
1,8.0000,4.00,24.0000,0.8098,-0.1831
1,8.0200,7.00,22.5000,0.8102,-0.1221
1,8.0400,6.00,25.5000,0.8098,-0.1831
1,8.0600,6.00,24.0000,0.8099,-0.1831
1,8.0800,7.00,22.5000,0.8098,-0.1831
1,8.1000,5.00,24.0000,0.8103,-0.1831
1,8.1200,6.00,28.5000,0.8103,-0.1221
1,8.1400,8.00,24.0000,0.8113,-0.1831
1,8.1600,7.00,25.5000,0.8103,-0.1831
1,8.1800,7.00,24.0000,0.8105,-0.1221
1,8.2000,6.00,25.5000,0.8099,-0.1831
1,8.2200,6.00,27.0000,0.8107,-0.1831
1,8.2400,5.00,25.5000,0.8107,-0.1831
1,8.2600,6.00,24.0000,0.8104,-0.1831
1,8.2800,4.00,25.5000,0.8108,-0.1831
1,8.3000,7.00,24.0000,0.8108,-0.1831
