ave_filt_force,med_filt_force,ave_filt_mag,med_filt_mag,ave_filt_accel,med_filt_accel,ave_filt_gyro,med_filt_gyro,Class
-0.1,0.0,-730.3199999999999,-730.5,-730.3199999999999,-730.5,-730.3199999999999,-730.5,1
-0.12,0.0,-730.32,-730.5,-730.32,-730.5,-730.32,-730.5,1
-0.12,0.0,-730.34,-731.0,-730.34,-731.0,-730.34,-731.0,1
-0.12,0.0,-730.33,-730.75,-730.33,-730.75,-730.33,-730.75,1
-0.12,0.0,-730.3100000000001,-730.25,-730.3100000000001,-730.25,-730.3100000000001,-730.25,1
-0.1,0.0,-730.27,-730.25,-730.27,-730.25,-730.27,-730.25,1
-0.1,0.0,-730.29,-730.5,-730.29,-730.5,-730.29,-730.5,1
-0.1,0.0,-730.3,-730.5,-730.3,-730.5,-730.3,-730.5,1
-0.1,0.0,-730.3,-730.5,-730.3,-730.5,-730.3,-730.5,1
-0.12,0.0,-730.29,-730.5,-730.29,-730.5,-730.29,-730.5,1
-0.13999999999999999,0.0,-730.3199999999999,-730.5,-730.3199999999999,-730.5,-730.3199999999999,-730.5,1
-0.13999999999999999,0.0,-730.31,-730.5,-730.31,-730.5,-730.31,-730.5,1
-0.14,0.0,-730.26,-730.5,-730.26,-730.5,-730.26,-730.5,1
-0.14,0.0,-730.28,-730.5,-730.28,-730.5,-730.28,-730.5,1
-0.14,0.0,-730.27,-730.5,-730.27,-730.5,-730.27,-730.5,1
-0.16,0.0,-730.26,-730.5,-730.26,-730.5,-730.26,-730.5,1
-0.16,0.0,-730.28,-730.5,-730.28,-730.5,-730.28,-730.5,1
-0.16,0.0,-730.27,-730.5,-730.27,-730.5,-730.27,-730.5,1
-0.14,0.0,-730.29,-730.5,-730.29,-730.5,-730.29,-730.5,1
-0.12,0.0,-730.3299999999999,-730.5,-730.3299999999999,-730.5,-730.3299999999999,-730.5,1
-0.13999999999999999,0.0,-730.3299999999999,-730.5,-730.3299999999999,-730.5,-730.3299999999999,-730.5,1
-0.13999999999999999,0.0,-730.3399999999999,-730.5,-730.3399999999999,-730.5,-730.3399999999999,-730.5,1
-0.14,0.0,-730.42,-730.5,-730.42,-730.5,-730.42,-730.5,1
-0.14,0.0,-730.48,-730.75,-730.48,-730.75,-730.48,-730.75,1
-0.18000000000000002,0.0,-730.49,-730.75,-730.49,-730.75,-730.49,-730.75,1
-0.18000000000000002,0.0,-730.54,-731.0,-730.54,-731.0,-730.54,-731.0,1
-0.18,0.0,-730.5899999999999,-731.0,-730.5899999999999,-731.0,-730.5899999999999,-731.0,1
-0.19999999999999998,0.0,-730.64,-731.0,-730.64,-731.0,-730.64,-731.0,1
-0.19999999999999998,0.0,-730.6500000000001,-731.0,-730.6500000000001,-731.0,-730.6500000000001,-731.0,1
-0.19999999999999998,0.0,-730.71,-731.0,-730.71,-731.0,-730.71,-731.0,1
-0.2,0.0,-730.6800000000001,-731.0,-730.6800000000001,-731.0,-730.6800000000001,-731.0,1
-0.2,0.0,-730.7,-731.0,-730.7,-731.0,-730.7,-731.0,1
-0.2,0.0,-730.72,-731.0,-730.72,-731.0,-730.72,-731.0,1
-0.2,0.0,-730.75,-731.0,-730.75,-731.0,-730.75,-731.0,1
-0.18,0.0,-730.76,-731.25,-730.76,-731.25,-730.76,-731.25,1
-0.18,0.0,-730.8100000000001,-731.5,-730.8100000000001,-731.5,-730.8100000000001,-731.5,1
-0.19999999999999998,0.0,-730.9,-731.5,-730.9,-731.5,-730.9,-731.5,1
-0.19999999999999998,0.0,-730.93,-731.5,-730.93,-731.5,-730.93,-731.5,1
-0.2,0.0,-731.0300000000001,-731.5,-731.0300000000001,-731.5,-731.0300000000001,-731.5,1
-0.2,0.0,-731.07,-731.5,-731.07,-731.5,-731.07,-731.5,1
-0.2,0.0,-731.1500000000001,-731.5,-731.1500000000001,-731.5,-731.1500000000001,-731.5,1
-0.2,0.0,-731.1800000000001,-731.5,-731.1800000000001,-731.5,-731.1800000000001,-731.5,1
-0.2,0.0,-731.23,-731.5,-731.23,-731.5,-731.23,-731.5,1
-0.2,0.0,-731.34,-731.5,-731.34,-731.5,-731.34,-731.5,1
-0.2,0.0,-731.4100000000001,-731.5,-731.4100000000001,-731.5,-731.4100000000001,-731.5,1
-0.2,0.0,-731.52,-731.5,-731.52,-731.5,-731.52,-731.5,1
-0.22,0.0,-731.56,-731.5,-731.56,-731.5,-731.56,-731.5,1
-0.22,0.0,-731.64,-731.5,-731.64,-731.5,-731.64,-731.5,1
-0.22,0.0,-731.6500000000001,-731.5,-731.6500000000001,-731.5,-731.6500000000001,-731.5,1
-0.22,0.0,-731.72,-731.5,-731.72,-731.5,-731.72,-731.5,1
-0.24,0.0,-731.8,-731.5,-731.8,-731.5,-731.8,-731.5,1
-0.22,0.0,-731.78,-731.5,-731.78,-731.5,-731.78,-731.5,1
-0.24000000000000002,0.0,-731.75,-731.5,-731.75,-731.5,-731.75,-731.5,1
